MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     397.49658 Sec       3/3/2022 5:20:28 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
210.60938 -0.49523428 4.4093695
211.10938 -0.49357924 4.4210153
211.60938 -0.49197093 4.4446454
212.10938 -0.49017283 4.4363151
212.60938 -0.48854476 4.4481769
213.10938 -0.48688799 4.4764514
213.60938 -0.48525581 4.4632154
214.10938 -0.48351726 4.4738631
214.60938 -0.48186061 4.5016623
215.10938 -0.48024732 4.4961028
215.60938 -0.47856608 4.5020761
216.10938 -0.47690475 4.5382218
216.60938 -0.47521028 4.52179
217.10938 -0.4736084 4.5277286
217.60938 -0.47190118 4.5574865
218.10938 -0.47029176 4.5537753
218.60938 -0.4685486 4.5546856
219.10938 -0.46691898 4.5891652
219.60938 -0.4651581 4.5907149
220.10938 -0.46356052 4.5811262
220.60938 -0.46185338 4.6080203
221.10938 -0.46012664 4.6273937
221.60938 -0.45847666 4.6123161
222.10938 -0.45681551 4.6273956
222.60938 -0.45513964 4.6568284
223.10938 -0.45343459 4.6605768
223.60938 -0.45177203 4.6520047
224.10938 -0.4500882 4.6820631
224.60938 -0.44847733 4.6906319
225.10938 -0.44679734 4.6798983
225.60938 -0.44509917 4.7045646
226.10938 -0.44342631 4.7295604
226.60938 -0.44181114 4.7218356
227.10938 -0.44016346 4.721271
227.60938 -0.43846163 4.7559395
228.10938 -0.43679294 4.7617712
228.60938 -0.4351477 4.7523794
229.10938 -0.43350148 4.7795677
229.60938 -0.43183026 4.7985644
230.10938 -0.43012422 4.7888074
230.60938 -0.42847344 4.7950783
231.10938 -0.42684799 4.8256607
231.60938 -0.42514738 4.8293281
232.10938 -0.4235194 4.8240323
232.60938 -0.42177379 4.8512545
233.10938 -0.42016447 4.8753448
233.60938 -0.41850829 4.8631911
234.10938 -0.41691321 4.8734512
234.60938 -0.41519681 4.9052434
235.10938 -0.41353485 4.9163256
235.60938 -0.41189015 4.9048581
236.10938 -0.41023979 4.9284706
236.60938 -0.40856299 4.956635
237.10938 -0.40687403 4.9517789
237.60938 -0.40527251 4.948843
238.10938 -0.4036155 4.9777808
238.60938 -0.402024 4.9911551
239.10938 -0.4002794 4.9855661
239.60938 -0.39862096 4.9945679
240.10938 -0.39688972 5.0310092
240.60938 -0.3952744 5.0375214
241.10938 -0.39355984 5.0265822
241.60938 -0.39188227 5.0443826
242.10938 -0.39002749 5.0958753
242.60938 -0.38556781 5.1247039
243.10938 -0.38141868 5.1385393
243.60938 -0.3772434 5.1770635
244.10938 -0.37304869 5.2225037
244.60938 -0.36889037 5.2348466
245.10938 -0.3647339 5.2525282
245.60938 -0.36058494 5.2916117
246.10938 -0.35638645 5.3357892
246.60938 -0.35227361 5.3523736
247.10938 -0.34808964 5.3723383
247.60938 -0.34389976 5.4194875
248.10938 -0.33976251 5.4645047
248.60938 -0.33559588 5.4763074
249.10938 -0.33138767 5.5051804
249.60938 -0.32722402 5.5593529
250.10938 -0.32309219 5.5837917
250.60938 -0.31893125 5.6027083
251.10938 -0.31473944 5.6467075
251.60938 -0.31056955 5.707963
252.10938 -0.30644253 5.7246165
252.60938 -0.3022323 5.7450523
253.10938 -0.29809308 5.7989244
253.60938 -0.2939325 5.8433914
254.10938 -0.28972644 5.8604422
254.60938 -0.28557792 5.8968644
255.10938 -0.2814101 5.9560218
255.60938 -0.27724057 5.9889669
256.10938 -0.27308127 6.0137887
256.60938 -0.26896584 6.0540843
257.10938 -0.26473218 6.1125908
257.60938 -0.26058266 6.1483641
258.10938 -0.25643715 6.1702323
258.60938 -0.25221765 6.2210979
259.10938 -0.24807635 6.2805948
